id	left	top	right	bottom	texture_id
[SPRITES]
#ĐẤT
1000000	112	128	127	143	40
1000100	128	128	143	143	40
1000200	144	128	159	143	40
#NỀN ĐẤT
1010000	0	144	15	159	40
1010100	16	144	31	159	40
1010200	32	144	47	159	40
#BỤI CÂY LỚN
1020000	112	48	127	63	40
1020100	128	48	143	63	40
1020200	64	64	79	79	40
1020300	0	96	15	111	40
1020400	48	64	63	79	40
1020500	0	80	15	95	40
1020600	16	80	31	95	40
#BỤI CÂY NHỎ
1030000	160	112	175	127	40
#THÙNG HỒNG
1040000	64	16	79	31	40
1040100	80	16	95	31	40
1040200	96	16	111	31	40
1040300	96	96	111	111	40
1040400	112	96	127	111	40
1040500	128	96	143	111	40
1040600	64	112	79	127	40
1040700	144	112	159	127	40
1040800	128	16	143	31	40
1040900	144	16	159	31	40
1041000	160	16	175	31	40
1041100	96	128	111	143	40
#THÙNG XANH
1050000	128	64	143	79	40
1050100	144	64	159	79	40
1050200	160	64	175	79	40
1050300	128	80	143	95	40
1050400	144	80	159	95	40
1050500	160	80	175	95	40
1050600	80	112	95	127	40
1050700	160	96	175	111	40
1050800	16	128	31	143	40
1050900	32	128	47	143	40
#THÙNG XANH LÁ
1060000	0	48	15	63	40
1060100	16	48	31	63	40
1060200	32	48	47	63	40
1060300	64	48	79	63	40
1060400	80	48	95	63	40
1060500	96	48	111	63	40
1060600	96	112	111	127	40
1060700	48	128	63	143	40
1060800	0	128	15	143	40
1060900	64	128	79	143	40
1061000	80	128	95	143	40
1061100	160	128	175	143	40
#THÙNG TRẮNG
1070000	160	48	175	63	40
1070100	0	64	15	79	40
1070200	16	64	31	79	40
1070300	80	64	95	79	40
1070400	96	64	111	79	40
1070500	112	64	127	79	40
1070600	112	80	127	95	40
1070700	144	96	159	111	40
#MÂY
1080000	88	33	95	48	40
1080100	96	33	111	48	40
1080200	112	33	120	48	40
1080300	137	33	144	40	40
1080400	145	33	160	40	40
1080500	161	33	167	40	40
#NỀN ĐEN
1090000	16	0	31	16	40
1090100	32	0	48	16	40
#CÂY ĐEN
1100000	32	80	47	95	40
1100100	48	80	64	95	40
1100200	16	96	31	111	40
1100300	32	96	48	111	40
#MÂY NHỎ
1110000	354	243	370	259	20
#GẠCH XANH
1120000	0	0	16	16	70
#VIỀN TRẮNG
1130000	15	42	41	68	100
